DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-07675-2	14	05-Jan-21	21-Jun-21	22-Aug-21	Calculation of seismicity parameters and strong ground movement in Lorestan province (Boroujerd city) based on seismic data	"Yegane, Ali Ghiyas; Solgi, Ali; Uromeie, Ali; Maleki, Zahra; Nezafati, Nima"
10.1007/s12517-021-08185-x	14	03-Jun-21	31-Jul-21	20-Aug-21	Prediction of PM2.5 concentration in ambient air and safety of sports training based on Android dynamic monitoring	"Zhang, Yuliang; Wang, Tingting"
10.1007/s12517-021-07522-4	14	25-May-20	03-Jun-21	20-Aug-21	Dynamic stability of anchored retaining walls	"Benamara, Fatima Zohra; Rouaiguia, Ammar; Boutahir, Oussama"
10.1007/s12517-021-07500-w	14	18-Mar-21	01-Jun-21	23-Aug-21	A MapReduce-based distributed and scalable framework for stitching of satellite mosaic images	"Eken, Süleyman; Sayar, Ahmet"
10.1007/s12517-021-08095-y	14	11-Jun-21	21-Jul-21	15-Aug-21	Environmental change of rainfall erosivity based on GIS system and architectural design of sponge city	"Guo, Ya"
10.1007/s12517-021-07818-5	14	09-Dec-20	01-Jul-21	07-Aug-21	"Identification of palaeochannels using optical images and radar data: A study of the Damodar Fan Delta, India"	"Mahammad, Sadik; Islam, Aznarul"
10.1007/s12517-021-08005-2	14	05-Jun-21	15-Jul-21	07-Aug-21	Spatial distribution of heavy metals in groundwater based on structural equation and development of leisure agriculture tourism	"Yao, Shen"
10.1007/s12517-021-08123-x	14	11-Jun-21	22-Jul-21	12-Aug-21	Influence of coastal beach stability based on interactive VR technology and bookbinding design of city library	"Xiaohui, Zhang"
10.1007/s12517-021-07888-5	14	10-Mar-21	07-Jul-21	07-Aug-21	Coastline climate environment and community public service development model based on GIS	"Xiong, Guibin"
10.1007/s12517-021-08141-9	14	08-Jun-21	27-Jul-21	05-Aug-21	Analysis of geomorphic environment elements and landscape features of cultural administrative place names	"Liu, Fulong; Meng, Kun"
10.1007/s12517-021-08142-8	14	10-Jun-21	27-Jul-21	05-Aug-21	Geodesy ecological perspective of architectural tectonics in green building design	"Yuzhuo, Wang; Yuanyuan, Yao"
10.1007/s12517-021-07956-w	14	02-Jun-21	10-Jul-21	09-Aug-21	River wetland ecological forecast and diversified development of university entrepreneurship education based on matching tracking	"Liu, Xiao; Shi, Xiaoping"
10.1007/s12517-021-08145-5	14	18-Mar-21	28-Jul-21	09-Aug-21	Geochemical characteristics and genesis of lower Paleozoic dolomites in the central Bohai Sea	"Song, Xiuzhang; Lv, Zhengxiang; Qin, Binchuan; Wang, Honghui; Qing, Yuanhua; Zang, Chunyan; Zhao, Wei; Hao, Peng; He, Yinjun"
10.1007/s12517-021-08186-w	14	03-Jun-21	31-Jul-21	13-Aug-21	Prediction of mountain landslide susceptibility and influencing factors of green landscape design on both sides of roads	"Wang, Xiaoxiong; Shui, Jinyan; Zhao, Zhixian"
10.1007/s12517-021-08072-5	14	11-Jun-21	19-Jul-21	12-Aug-21	Ambient air quality prediction and unbounded variational continuous function based on big data	"An, Hongwei; Zheng, Lifang"
10.1007/s12517-021-08122-y	14	03-Jun-21	22-Jul-21	12-Aug-21	Water ecological environment changes in Southwest China based on GIS and environmental monitoring	"Lingling, Zheng; Zhu, Peng; Lin, Haitao"
10.1007/s12517-021-08038-7	14	03-Jun-21	15-Jul-21	12-Aug-21	Mountain rainfall estimation and online English teaching evaluation based on RBF neural network	"Zhang, Cailian; Guo, Yao"
10.1007/s12517-021-08110-2	14	12-Apr-21	22-Jul-21	12-Aug-21	"Integration of Remote sensing, GIS, and AHP in demarcating groundwater potential zones in Pattukottai Taluk, Tamilnadu, India"	"Muthu, Kalidhas; Sudalaimuthu, Karuppasamy"
10.1007/s12517-021-08246-1	14	25-May-21	10-Aug-21	30-Aug-21	"Mineral chemistry and Petrology of the Andarian volcanic rocks: insight to the Ahar-Arasbaran magmatic zone, Northwestern Iran"	"Namnabat, Elahe; Ghorbani, Mansour; Nakashima, Kazuo; Tabatabaei, Seyed Hassan; Tavakoli, Neda"
10.1007/s12517-021-08326-2	14	13-Aug-20	19-Aug-21	30-Aug-21	"Integration of seismic methods and 3D basin modeling approach for improved predrill pore pressure prediction: an example from Malay Basin, Malaysia"	"Satti, Iftikhar A.; Farooq, Muhammad; Hermana, Maman"
10.1007/s12517-021-08167-z	14	02-Feb-21	01-Aug-21	22-Aug-21	"Evolution of the fracturing in the Paleozoic plutonic complex of Tichka (Western High Atlas, Morocco)"	"Si Mhamdi, Hicham; Oukassou, Mostafa; Raji, Mohammed"
10.1007/s12517-021-08181-1	14	11-Jun-21	31-Jul-21	21-Aug-21	Distribution of earthquake activity in mountain area based on embedded system and physical fitness detection of basketball	"Tang, HaoChen; Xie, Qingyuan"
10.1007/s12517-021-08214-9	14	01-Jun-21	04-Aug-21	21-Aug-21	Research on coastal atmospheric change and Latin dance performance based on target detection network	"Rao, Fan"
10.1007/s12517-021-08295-6	14	24-Apr-21	19-Aug-21	28-Aug-21	Construction of the spatially varying ground motion field of a bedrock-overburden layer site and its influence on the seismic response of earth-rock dams	"Wang, Fei; Song, Zhiqiang; Liu, Yunhe; Luo, Bohua; Zhang, Wenbing"
10.1007/s12517-021-08165-1	14	17-Jun-21	01-Aug-21	25-Aug-21	Research on rain slope stability and digital village construction in mountainous areas based on remote sensing images	"Cheng, Fengju; Zhang, Jingzhao"
10.1007/s12517-021-08279-6	14	23-Mar-21	02-Aug-21	27-Aug-21	Dynamic response analysis of acceleration of bridge crossing landslide under earthquake	"Ren, Jiankai; Zhang, Yongmou; Wu, Honggang; Lei, Hao; Ma, Kun; Ji, Zhiyang; Liang, Yu"
